Japanese,English
でぐち,exit
コインロッカー,coin locker
じはんき,vending machine
カフェ,cafe
ちかい,"near, close"
二階,on the second floor
でんわ,telephone
コンセント,outlet
かいだん,stairs
とおい,far
ちか,underground
おてあらい,restroom
エレベーター,elevator
タクシー,taxi
WiFi,wifi
のりかえ,transfer
ゴミばこ,trash can
ホーム,platform
かいさつ,ticket gate
一階,on the first floor
七つ,seven
パイ,pie
チョコレート,chocolate
ぜんぶで,in total
いちご,strawberry
六つ,six
クッキー,cookie
どの,"any, each, which"
まっちゃ,matcha
カップケーキ,cupcake
みどり,green
五つ,five
ドーナツ,donut
チーズケーキ,cheesecake
あの,"those, ah, that (over there)"
あきます,"opens, open"
もの,"something, things, thing"
どうですか,How about
ケーキや,cake shop
あまい,sweet
すこし,"a bit, few, some"
アイスコーヒー,iced coffee
アイスクリーム,ice cream
こうちゃ,black tea
小さい,"small, little"
みそしる,miso soup
そば,soba
大きい,"large, great, considerable"
おにぎり,rice ball
その,"the, that, those"
三つ,three
四つ,four
じゃあ,"well then, well, see you"
一つ,one
水,water
二つ,two
てんぷら,tempura
ええと,well
レストラン,restaurant
ていしょく,set meal
うどん,udon
ココア,hot chocolate
おんせん,hot spring
ふゆ,winter
ゆき,snow
さむい,cold
あめ,"candies, candy, sweets"
あき,autumn
コンサート,concert
九月,September
七月,July
休み,break
プール,pool
はなび,firework
あつい,"hot, thick"
はれ,clear
なつ,summer
うみに行きます,"go to the sea, go to the beach, go to the ocean"
はる,spring
日,day
こうえん,park
あたたかい,"warm, hot"
あね,older sister
どうが,video
日曜日,Sunday
話します,"speaks, speak, tells"
あに,older brother
土曜日,Saturday
じゅうどう,judo
ミステリー,mystery
かぞく,family
母,mother
スポーツ,play sports
父,father
あそびます,"hang out, hangs out, (I) will play"
れんあい,romance
しゅうまつ,weekend
テニス,tennis
ひとりで,alone
時間,"time, hour, hours"
しゅうてん,last stop
ながい,long
分,"minute, minutes"
どのぐらい,how long
十分,"sufficient, enough, adequate"
ぐらい,approximately
かかります,"take, (it) takes, (it) will take"
はやい,"fast, early, quick"
うえのこうえん,Ueno Park
つぎの,next
もうすぐ,very soon
あさくさ,Asakusa
来ます,"will be here, will come, is coming"
つぎ,next
バス,bus
あきはばら,Akihabara
でんしゃ,train
しぶや,Shibuya
行きます,"am going, are going, go"
でかけます,"go out, am going to go out"
はしります,"runs, run"
飲みます,"will have, drink, having"
およぎます,"swim, will swim, swims"
十二,twelve
シャワーをあびます,take a shower
メールを読みます,check emails
ねます,"sleep, go to sleep, will go to sleep"
からて,karate
ヨガ,yoga
らいしゅう,next week
あした,tomorrow
買います,will buy
まいしゅう,every week
十一,eleven
ごろ,around
バレーボール,volleyball
十,"10, ten, tenth"
つくります,make
何時,"when, what time"
いつも,always
ラジオ,radio
食べます,"eat, am going to eat, will eat"
おきます,"get up, going to wake up, wake up"
ゲーム,game
コメディ,comedy
アクション,action
どんな,what kind of
ホラー,horror
ドラマ,drama
アメリカの,American
日本の,Japanese
ファンタジー,fantasy
すき,like
Kポップ,K-pop
かのじょ,girlfriend
かんこく,"Korea, korean"
ちゅうごく,China
イギリス,"Britain, the United Kingdom, British"
エリカ,"Erica, Erika"
ダニエル,Daniel
かれし,my boyfriend
こちら,"this, these, (over) here"
と言います,is called
アンドリュー,Andrew
たかい,expensive
みせ,store
ジャケット,jacket
ありがとうございます,thank you
くろい,black
千,"thousand, a thousand, one thousand"
えん,yen
ネクタイ,tie
いくら,how much
百,"hundred, a hundred, 100"
やすい,"cheap, inexpensive"
スカート,skirt
ね,"is it not, sleep, wouldn't you agree"
かわいい,"cuter, cute, pretty"
あおい,blue
Tシャツ,T-shirt
が,"(softens the tone), (indicates the subject), but"
新しい,"new, newer"
ほしい,"wants, want, you'd"
さいふ,wallet
ふく,clothes
この,"this, these, that's"
古い,"(the) old, (an) old, old"
カレー,curry
五,five
ばんごはん,dinner
まいばん,every night
八,"eight, 8, eights"
ひるごはん,lunch
パスタ,pasta
四時,four o'clock
べんとう,bento
七時,seven o'clock
ジュース,juice
コーヒー,coffee
のみます,"drink, drinks, (will) drink"
まいあさ,every morning
六,six
時,"while, time, clock"
あさごはん,breakfast
サンドイッチ,sandwich
まいにち,every day
パン,bread
たべます,"eat, eats"
まんが,manga
やきゅう,baseball
Jポップ,J-pop
アニメ,anime
ニュース,news
本,book
ときどき,occasionally
ざっし,magazine
読みます,"read, will read, reads"
おんがく,music
よく,"often, frequently, well"
ジャズ,jazz
ロック,rock
ききます,"listen, listens, ask"
サッカー,soccer
バスケットボール,basketball
します,"makes, are doing, make"
テレビ,TV
を,"through, with, for"
えいが,movie
見ます,"watch, will watch, watches"
しずか,quiet
きれい,"beautiful, pretty, clean"
まち,town
とても,very
とし,city
にぎやか,lively
日本,"Japan, Japanese"
どう,how
おおさか,Osaka
も,"even, any, also"
にすんでいます,is living
私,"me, I"
トロント,Toronto
京都,Kyoto
ニューヨーク,New York
しゅっしん,hometown
はじめまして,Nice to meet you
東京,Tokyo
それ,"that, that (one), it"
中山,Nakayama
パスポート,passport
ぼうし,hat
スマホ,smartphone
田中,Tanaka
ちず,map
山口,Yamaguchi
きっぷ,ticket
かさ,umbrella
あそこ,(over) there
ちかてつ,subway
くうこう,airport
三,three
すみません,"sorry, pardon me, excuse me"
はん,thirty
なんじ,what time
一,one
二,two
いま,now
に,"through, made, with"
じ,o'clock
いち,one
なかやま,Nakayama
おもしろい,"interesting, fun, funny"
ともだち,friend
あかるい,"bright, cheerful, well-lit"
やまぐち,Yamaguchi
たなか,Tanaka
くつ,shoe
の,"for, 's, one"
てぶくろ,"glove, gloves, mitten"
しろい,white
かばん,"bag, bags"
わたしの,"my, mine"
コート,"court, coat, coats"
あかい,red
いいえ,no
だいがく,university
えき,"station, train station, stations"
デパート,department store
じゃない,"do not, am not, I'm not"
ここ,"here, this (place), over here"
バスてい,bus stop
コンビニ,convenience store
どこ,where
ホテル,hotel
ブラジルじん,Brazilian
ちいさい,small
ブラジル,Brazil
ベトナム,Vietnam
ベトナムじん,Vietnamese
アメリカじん,American
カナダ,Canada
カナダじん,Canadian
にほんじん,Japanese person
おおきい,big
にほん,Japan
アメリカ,"America, the USA, the US"
ケーキ,cake
か,"or, is it?, that"
ピザ,pizza
はい,yes
おいしい,"good, delicious, tasty"
サラダ,salad
ラーメン,ramen
これ,"this, these, this (one)"
は,"is, with, regarding"
またあした,see you tomorrow
なおみ,Naomi
こんばんは,good evening
さん,"Mr., Miss, Mrs."
はな,Hana
けん,Ken
こんにちは,"good afternoon, hi, hello"
がくせい,student
ひと,person
べんごし,lawyer
せんせい,teacher
かっこいい,cool
いしゃ,doctor
やさしい,"kind, easy, nice"
です,"is, it's, you're"
ごはん,rice
と,and
ください,"please, please give me"
おちゃ,"green tea, tea"
みず,water
すし,sushi
